,region,structure_id,A/P,D/V,M/L,horizontal_position,vertical_position,is_valid,cortical_depth
315,VISp,0,-1.0,-1.0,-1.0,27,3160,True,0.105
316,VISp,0,-1.0,-1.0,-1.0,43,3180,True,0.093
317,VISp,0,-1.0,-1.0,-1.0,11,3180,True,0.081
318,VISp,0,-1.0,-1.0,-1.0,59,3200,True,0.07
319,VISp,0,-1.0,-1.0,-1.0,27,3200,True,0.058
320,VISp,0,-1.0,-1.0,-1.0,43,3220,True,0.047
321,VISp,0,-1.0,-1.0,-1.0,11,3220,True,0.035
322,VISp,0,-1.0,-1.0,-1.0,59,3240,True,0.023
323,VISp,0,-1.0,-1.0,-1.0,27,3240,True,0.012
324,VISp,0,-1.0,-1.0,-1.0,43,3260,True,0.0
325,none,0,-1.0,-1.0,-1.0,11,3260,True,-1.0
326,none,0,-1.0,-1.0,-1.0,59,3280,True,-1.0
327,none,0,-1.0,-1.0,-1.0,27,3280,True,-1.0
328,none,0,-1.0,-1.0,-1.0,43,3300,True,-1.0
329,none,0,-1.0,-1.0,-1.0,11,3300,True,-1.0
330,none,0,-1.0,-1.0,-1.0,59,3320,True,-1.0
331,none,0,-1.0,-1.0,-1.0,27,3320,True,-1.0
332,none,0,-1.0,-1.0,-1.0,43,3340,True,-1.0
333,none,0,-1.0,-1.0,-1.0,11,3340,True,-1.0
334,none,0,-1.0,-1.0,-1.0,59,3360,True,-1.0
335,none,0,-1.0,-1.0,-1.0,27,3360,True,-1.0
336,none,0,-1.0,-1.0,-1.0,43,3380,True,-1.0
337,none,0,-1.0,-1.0,-1.0,11,3380,True,-1.0
338,none,0,-1.0,-1.0,-1.0,59,3400,True,-1.0
339,none,0,-1.0,-1.0,-1.0,27,3400,True,-1.0
340,none,0,-1.0,-1.0,-1.0,43,3420,False,-1.0
341,none,0,-1.0,-1.0,-1.0,11,3420,True,-1.0
342,none,0,-1.0,-1.0,-1.0,59,3440,True,-1.0
343,none,0,-1.0,-1.0,-1.0,27,3440,True,-1.0
344,none,0,-1.0,-1.0,-1.0,43,3460,True,-1.0
345,none,0,-1.0,-1.0,-1.0,11,3460,True,-1.0
346,none,0,-1.0,-1.0,-1.0,59,3480,True,-1.0
347,none,0,-1.0,-1.0,-1.0,27,3480,True,-1.0
348,none,0,-1.0,-1.0,-1.0,43,3500,True,-1.0
349,none,0,-1.0,-1.0,-1.0,11,3500,True,-1.0
350,none,0,-1.0,-1.0,-1.0,59,3520,True,-1.0
351,none,0,-1.0,-1.0,-1.0,27,3520,True,-1.0
352,none,0,-1.0,-1.0,-1.0,43,3540,True,-1.0
353,none,0,-1.0,-1.0,-1.0,11,3540,True,-1.0
354,none,0,-1.0,-1.0,-1.0,59,3560,True,-1.0
355,none,0,-1.0,-1.0,-1.0,27,3560,True,-1.0
356,none,0,-1.0,-1.0,-1.0,43,3580,True,-1.0
357,none,0,-1.0,-1.0,-1.0,11,3580,True,-1.0
358,none,0,-1.0,-1.0,-1.0,59,3600,True,-1.0
359,none,0,-1.0,-1.0,-1.0,27,3600,True,-1.0
360,none,0,-1.0,-1.0,-1.0,43,3620,True,-1.0
361,none,0,-1.0,-1.0,-1.0,11,3620,True,-1.0
362,none,0,-1.0,-1.0,-1.0,59,3640,True,-1.0
363,none,0,-1.0,-1.0,-1.0,27,3640,True,-1.0
364,none,0,-1.0,-1.0,-1.0,43,3660,True,-1.0
365,none,0,-1.0,-1.0,-1.0,11,3660,True,-1.0
366,none,0,-1.0,-1.0,-1.0,59,3680,True,-1.0
367,none,0,-1.0,-1.0,-1.0,27,3680,True,-1.0
368,none,0,-1.0,-1.0,-1.0,43,3700,True,-1.0
369,none,0,-1.0,-1.0,-1.0,11,3700,True,-1.0
370,none,0,-1.0,-1.0,-1.0,59,3720,True,-1.0
371,none,0,-1.0,-1.0,-1.0,27,3720,True,-1.0
372,none,0,-1.0,-1.0,-1.0,43,3740,True,-1.0
373,none,0,-1.0,-1.0,-1.0,11,3740,True,-1.0
374,none,0,-1.0,-1.0,-1.0,59,3760,True,-1.0
375,none,0,-1.0,-1.0,-1.0,27,3760,True,-1.0
376,none,0,-1.0,-1.0,-1.0,43,3780,True,-1.0
377,none,0,-1.0,-1.0,-1.0,11,3780,True,-1.0
378,none,0,-1.0,-1.0,-1.0,59,3800,True,-1.0
379,none,0,-1.0,-1.0,-1.0,27,3800,False,-1.0
380,none,0,-1.0,-1.0,-1.0,43,3820,True,-1.0
381,none,0,-1.0,-1.0,-1.0,11,3820,True,-1.0
382,none,0,-1.0,-1.0,-1.0,59,3840,True,-1.0
383,none,0,-1.0,-1.0,-1.0,27,3840,True,-1.0
